127,160;283,147;134,166;288,166;100,223;
130,165;289,157;135,166;289,166;100,223;
125,160;284,150;135,166;289,166;100,223;
124,160;281,148;134,166;288,166;1270,53;
129,166;287,155;138,170;296,170;786,573;
128,164;286,152;136,169;292,169;1270,53;
140,175;299,166;139,172;298,172;1270,53;
150,173;309,164;139,172;298,172;1270,53;
149,169;310,158;138,171;297,171;786,573;
135,171;295,162;138,170;295,170;100,223;
131,172;293,163;140,173;300,173;100,223;
123,162;281,152;136,169;292,169;786,573;
128,166;287,156;137,169;294,169;1270,53;
148,169;310,159;138,170;295,170;100,223;
146,165;307,152;137,169;293,169;100,223;
135,169;294,159;138,170;294,170;786,573;
141,164;292,151;134,165;287,165;786,573;
132,169;289,158;138,171;297,171;1270,53;
128,166;285,155;138,170;295,170;1270,53;
139,174;300,164;141,174;300,174;786,573;
142,170;303,162;138,171;296,171;100,223;
130,166;288,155;141,174;302,174;1270,53;
145,169;306,160;139,171;297,171;100,223;
146,173;309,162;141,174;300,174;100,223;
131,172;289,163;141,175;303,175;1270,53;
128,166;285,155;138,170;295,170;1270,53;
135,172;295,163;138,171;296,171;786,573;
140,173;299,163;139,172;298,172;786,573;
138,172;298,163;139,171;297,171;786,573;
134,172;291,161;135,167;290,167;1270,53;
133,176;291,165;138,171;297,171;1270,53;
132,168;288,156;135,167;289,167;786,573;
150,178;309,165;142,175;303,175;786,573;
147,172;305,158;140,173;300,173;786,573;
131,173;288,161;139,172;298,172;100,223;
138,177;293,164;139,172;299,172;100,223;
135,171;291,161;136,169;292,169;1270,53;
139,177;296,167;138,171;297,171;1270,53;
151,179;311,167;142,175;303,175;786,573;
132,175;289,163;141,175;303,175;100,223;
132,173;288,162;141,174;302,174;1270,53;
125,165;280,153;135,168;291,168;1270,53;
142,169;290,150;135,166;288,166;786,573;
136,174;292,163;139,171;297,171;1270,53;
152,176;310,164;141,174;301,174;100,223;
94,132;189,120;96,118;207,118;100,223;
127,172;284,162;139,171;297,171;1270,53;
128,164;282,152;136,169;292,169;1270,53;
135,172;291,162;138,171;297,171;786,573;
129,168;286,158;135,168;291,168;786,573;
143,169;303,159;138,170;294,170;100,223;
141,171;301,159;138,170;294,170;100,223;
137,163;275,159;134,165;287,165;1270,53;
130,167;286,159;135,166;288,166;786,573;
130,169;286,160;135,166;288,166;786,573;
142,168;302,158;137,169;293,169;100,223;
145,170;303,160;138,171;296,171;100,223;
124,165;281,156;135,168;291,168;1270,53;
125,165;283,156;135,168;291,168;1270,53;
148,170;310,159;139,172;299,172;100,223;
145,167;308,158;138,171;297,171;100,223;
129,166;287,157;139,172;299,172;100,223;
127,163;284,154;137,169;294,169;786,573;
131,164;286,156;139,172;298,172;786,573;
136,167;294,160;138,170;294,170;100,223;
135,169;294,162;138,171;297,171;100,223;
150,171;311,162;141,174;300,174;1270,53;
150,173;312,162;141,174;301,174;1270,53;
150,171;304,166;139,172;298,172;1270,53;
129,168;287,159;139,172;299,172;786,573;
141,165;288,153;134,166;288,166;786,573;
148,166;297,155;138,170;295,170;786,573;
132,165;291,158;135,167;290,167;100,223;
143,167;304,159;138,170;295,170;100,223;
141,167;303,159;138,170;294,170;100,223;
127,168;285,161;139,172;298,172;1270,53;
132,165;290,156;137,169;293,169;1270,53;
135,168;291,159;137,169;294,169;786,573;
144,165;304,158;137,169;294,169;786,573;
136,161;292,153;135,167;290,167;786,573;
129,164;287,157;138,170;294,170;100,223;
133,166;293,157;138,170;296,170;100,223;
131,164;288,157;134,166;288,166;1270,53;
131,166;287,159;134,165;287,165;1270,53;
135,169;292,159;138,170;295,170;100,223;
128,164;282,153;138,170;294,170;100,223;
132,169;288,159;141,174;300,174;786,573;
143,167;301,155;138,170;294,170;786,573;
146,167;293,153;135,168;291,168;1270,53;
131,168;288,159;140,173;300,173;100,223;
123,156;276,146;131,161;281,161;786,573;
137,161;295,147;134,165;287,165;1270,53;
133,169;291,159;138,170;294,170;100,223;
129,170;287,159;139,172;299,172;786,573;
128,165;284,154;137,169;294,169;1270,53;
139,165;297,153;135,168;291,168;1270,53;
139,165;298,156;137,169;293,169;100,223;
132,168;288,159;137,169;293,169;100,223;
130,166;287,157;136,169;292,169;786,573;
133,171;289,162;138,170;294,170;786,573;
131,169;287,160;139,171;297,171;1270,53;
127,160;280,150;135,168;291,168;1270,53;
142,170;300,160;138,171;296,171;100,223;
129,163;286,155;132,164;285,164;100,223;
134,164;287,156;134,165;287,165;786,573;
139,163;297,153;135,167;290,167;100,223;
122,160;276,150;134,166;288,166;1270,53;
119,158;274,147;134,165;287,165;1270,53;
122,162;276,152;135,166;289,166;1270,53;
