3435254,170869375,1
674935,194517377,1
1189253,54421622,1
4308468,199551334,1
4163623,222129378,1
2078542,110004375,1
2318898,119108383,1
4212993,138377377,1
2268040,228923375,1
4570830,229543375,1
2420931,210089406,1
3684350,220220380,1
4459924,197965390,1
4535714,228080377,1
1311895,204050392,1
3873027,53575391,1
4339235,209941376,1
4163623,166627695,1
3901829,214435389,1
527762,210091398,1
1648806,228052375,1
911057,23939784,1
4263236,190580518,1
4308468,200394456,1
1189253,53422515,1
2248595,216178442,1
2965990,80015818,1
2965990,86993820,1
2965990,86993820,1
4018461,132017418,1
3920587,195635151,1
3345859,86306820,1
4018507,210185378,1
4240336,229115376,1
5071189,180159389,1
1594224,224387382,1
4308468,200395253,1
4303002,194267394,1
3664928,161123375,1
4535714,227956448,1
1513739,98109393,1
4263236,190580513,1
1527757,203035383,1
2888948,199490261,1
944630,223390380,1
4442654,179759686,1
3353556,211979375,1
2611243,69595296,1
3182373,217818382,1
5095063,225765375,1
3502557,229288375,1
1594224,224387382,1
2830036,175577386,1
2672950,95074817,1
182647,228774380,1
3866309,193961375,1
1505261,214420402,1
1853370,223389709,1
2985228,229472474,1
2010592,222814385,1
4009037,199401382,1
3706351,172339376,1
5087788,228002377,1
1553467,184256382,1
3684350,113650379,1
2702773,201562376,1
1553467,227616376,1
2248595,191701543,1
2672950,95074817,1
2946023,226870376,1
4906617,229699375,1
2525192,227392636,1
289416,203962401,1
3356951,229257375,1
3868194,201557638,1
1553467,195475381,1
2412811,199298396,1
1532680,195256376,1
2387111,94167848,1
2239811,91288877,1
3021332,227748375,1
2544676,148711382,1
1325870,208034391,1
1553467,184697375,1
2672950,84289828,1
3097754,92374817,1
4296217,90951436,1
2239811,91288877,1
1189253,112655381,1
4570830,228046375,1
4018461,150189645,1
203548,211194378,1
1674372,205005572,1
4467102,163383376,1
2592127,54296818,1
2644497,199554774,1
5095063,193095377,1
3604338,24499831,1
2004460,206344378,1
5071189,208053380,1
3684350,151716377,1
4382424,229555376,1
2239811,56497375,1
3183925,154641630,1
2592127,161237877,1
2830036,207730381,1
2998247,171296376,1
2702773,208067674,1
182647,213895377,1
3202962,229673375,1
3021332,184438481,1
3784960,82782378,1
4303002,207390375,1
1311895,224092379,1
3901829,209206375,1
3784960,223774375,1
3021332,171506378,1
5071189,115942375,1
2707258,85572390,1
1663164,214480386,1
508545,119155381,1
2420931,214726377,1
3604338,39669538,1
944630,49745838,1
2248595,184819393,1
5071189,179045375,1
1209927,161732379,1
1209927,204150070,1
1209927,161732379,1
4557597,94742900,1
3961629,187411327,1
5071189,179045375,1
3518652,229493459,1
4509028,220229397,1
3021332,88527376,1
1547333,229055375,1
5034897,228975376,1
2460034,219826376,1
4189236,206812387,1
3814819,157112573,1
3975726,229214516,1
4617924,148820375,1
4382424,210057381,1
3291685,169505375,1
1553467,158456385,1
1174379,200501377,1
4296966,171547378,1
4509028,163762383,1
4076936,229249376,1
